dataset,matcher,precision,recall,f1-measure
cmt-ekaw,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-ekaw,jaroMeasure,0.21739130434782608,0.45454545454545453,0.29411764705882354
cmt-ekaw,best_base_matcher,0.6666666666666666,0.5454545454545454,0.6
cmt-iasted,core_platform,0.5714285714285714,1.0,0.7272727272727273
cmt-iasted,majority_vote,0.8,1.0,0.888888888888889
cmt-iasted,ngramDistance,0.4444444444444444,1.0,0.6153846153846153
cmt-iasted,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.034782608695652174,1.0,0.06722689075630252
cmt-iasted,wuPalmer,0.0975609756097561,1.0,0.17777777777777776
cmt-iasted,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,path,0.8,1.0,0.888888888888889
cmt-iasted,lin,0.6666666666666666,1.0,0.8
cmt-iasted,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.06451612903225806,1.0,0.12121212121212122
cmt-iasted,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.07142857142857142,1.0,0.13333333333333333
cmt-iasted,word2VecdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,jaroWinklerMeasure,0.07142857142857142,1.0,0.13333333333333333
cmt-iasted,word2Vec,0.8,1.0,0.888888888888889
cmt-iasted,level2_jara_winkler,0.06451612903225806,1.0,0.12121212121212122
cmt-iasted,prefix,0.15384615384615385,1.0,0.2666666666666667
cmt-iasted,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.4444444444444444,1.0,0.6153846153846153
cmt-iasted,word2VecStemmed,0.75,0.75,0.75
cmt-iasted,jaccard,0.8,1.0,0.888888888888889
cmt-iasted,level2_monge_elkan,0.034782608695652174,1.0,0.06722689075630252
cmt-iasted,suffix,0.2857142857142857,1.0,0.4444444444444445
cmt-iasted,word2VecStemmeddeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,esaSim,0.5,1.0,0.6666666666666666
cmt-iasted,suffixdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,level2_jaro,0.07547169811320754,1.0,0.14035087719298245
cmt-iasted,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.0975609756097561,1.0,0.17777777777777776
cmt-iasted,smoaDistance,0.08333333333333333,1.0,0.15384615384615385
cmt-iasted,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,jiangConrath,0.8,1.0,0.888888888888889
cmt-iasted,needlemanWunsch2Distance,0.6666666666666666,1.0,0.8
cmt-iasted,umbcSim,0.5714285714285714,1.0,0.7272727272727273
cmt-iasted,soft_tfidf_jaro,0.3333333333333333,1.0,0.5
cmt-iasted,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.2857142857142857,1.0,0.4444444444444445
cmt-iasted,word2VecStemmeddeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.75,0.75,0.75
cmt-iasted,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.8,1.0,0.888888888888889
cmt-iasted,mongeElkan,0.06557377049180328,1.0,0.12307692307692307
cmt-iasted,simple_tfidf,0.5714285714285714,1.0,0.7272727272727273
cmt-iasted,jaro_winkler_tfidf,0.36363636363636365,1.0,0.5333333333333333
cmt-iasted,levenshteinDistance,0.6666666666666666,1.0,0.8
cmt-iasted,hammingDistance,0.6666666666666666,1.0,0.8
cmt-iasted,equalDistance,0.8,1.0,0.888888888888889
cmt-iasted,subStringDistance,0.3333333333333333,1.0,0.5
cmt-iasted,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-iasted,jaroMeasure,0.125,1.0,0.2222222222222222
cmt-iasted,best_base_matcher,0.8,1.0,0.888888888888889
cmt-sigkdd,core_platform,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,majority_vote,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,ngramDistance,0.6666666666666666,0.6666666666666666,0.6666666666666666
cmt-sigkdd,wuPalmer,0.2692307692307692,0.5833333333333334,0.3684210526315789
cmt-sigkdd,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-sigkdd,path,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,lin,0.7,0.5833333333333334,0.6363636363636365
cmt-sigkdd,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.1694915254237288,0.8333333333333334,0.2816901408450704
cmt-sigkdd,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.3055555555555556,0.9166666666666666,0.4583333333333333
cmt-sigkdd,jaroWinklerMeasure,0.3055555555555556,0.9166666666666666,0.4583333333333333
cmt-sigkdd,word2Vec,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,level2_jara_winkler,0.1694915254237288,0.8333333333333334,0.2816901408450704
cmt-sigkdd,prefix,0.38095238095238093,0.6666666666666666,0.4848484848484849
cmt-sigkdd,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-sigkdd,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.6666666666666666,0.6666666666666666,0.6666666666666666
cmt-sigkdd,word2VecStemmed,0.75,0.5,0.6
cmt-sigkdd,jaccard,0.8181818181818182,0.75,0.7826086956521738
cmt-sigkdd,level2_monge_elkan,0.20454545454545456,0.75,0.3214285714285714
cmt-sigkdd,suffix,0.5,0.5833333333333334,0.5384615384615384
cmt-sigkdd,esaSim,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,level2_jaro,0.17543859649122806,0.8333333333333334,0.28985507246376807
cmt-sigkdd,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.2692307692307692,0.5833333333333334,0.3684210526315789
cmt-sigkdd,smoaDistance,0.3055555555555556,0.9166666666666666,0.4583333333333333
cmt-sigkdd,jiangConrath,0.75,0.5,0.6
cmt-sigkdd,needlemanWunsch2Distance,0.75,0.75,0.75
cmt-sigkdd,umbcSim,0.7,0.5833333333333334,0.6363636363636365
cmt-sigkdd,soft_tfidf_jaro,0.5,0.8333333333333334,0.625
cmt-sigkdd,mongeElkan,0.19047619047619047,0.6666666666666666,0.2962962962962963
cmt-sigkdd,simple_tfidf,0.625,0.8333333333333334,0.7142857142857143
cmt-sigkdd,jaro_winkler_tfidf,0.5882352941176471,0.8333333333333334,0.6896551724137931
cmt-sigkdd,levenshteinDistance,0.75,0.75,0.75
cmt-sigkdd,hammingDistance,0.7,0.5833333333333334,0.6363636363636365
cmt-sigkdd,equalDistance,0.7777777777777778,0.5833333333333334,0.6666666666666666
cmt-sigkdd,subStringDistance,0.5384615384615384,0.5833333333333334,0.5599999999999999
cmt-sigkdd,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-sigkdd,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-sigkdd,jaroMeasure,0.43478260869565216,0.8333333333333334,0.5714285714285714
cmt-sigkdd,best_base_matcher,0.8181818181818182,0.75,0.7826086956521738
conference-confOf,core_platform,0.8,0.5333333333333333,0.64
conference-confOf,majority_vote,0.8888888888888888,0.5333333333333333,0.6666666666666667
conference-confOf,ngramDistance,0.7777777777777778,0.4666666666666667,0.5833333333333334
conference-confOf,wuPalmer,0.24324324324324326,0.6,0.34615384615384615
conference-confOf,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-confOf,path,0.8,0.5333333333333333,0.64
conference-confOf,lin,0.6666666666666666,0.5333333333333333,0.5925925925925926
conference-confOf,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.1694915254237288,0.6666666666666666,0.27027027027027023
conference-confOf,jaroWinklerMeasure,0.1694915254237288,0.6666666666666666,0.27027027027027023
conference-confOf,word2Vec,0.8,0.5333333333333333,0.64
conference-confOf,level2_jara_winkler,0.2564102564102564,0.6666666666666666,0.37037037037037035
conference-confOf,prefix,0.2962962962962963,0.5333333333333333,0.38095238095238093
conference-confOf,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.7777777777777778,0.4666666666666667,0.5833333333333334
conference-confOf,word2VecStemmed,0.875,0.4666666666666667,0.608695652173913
conference-confOf,jaccard,0.875,0.4666666666666667,0.608695652173913
conference-confOf,level2_monge_elkan,0.17647058823529413,0.6,0.2727272727272727
conference-confOf,suffix,0.38461538461538464,0.6666666666666666,0.4878048780487804
